time,BTCUSD,ETHUSD,SPX,USOIL,GOLD
2015/1/1,218.45,,1994.99,47.69,1283.09
2015/2/1,255.59,,2104.5,49.41,1212.96
2015/3/1,245.5,,2067.89,47.48,1183.3
2015/4/1,236.81,,2085.51,59.75,1183.97
2015/5/1,230.21,,2107.39,60.25,1190
2015/6/1,263.82,,2063.11,58.86,1172.75
2015/7/1,285.19,,2103.84,46.78,1095.01
2015/8/1,230.75,,1972.18,48.14,1134.35
2015/9/1,237.14,,1920.03,45.32,1114.55
2015/10/1,314.85,,2079.36,46.37,1141.59
2015/11/1,376.86,,2080.41,41.66,1064.6
2015/12/1,430.35,,2043.94,37.05,1061.19
2016/1/1,367.95,,1940.24,33.73,1118.12
2016/2/1,436.44,,1932.23,33.87,1238.36
2016/3/1,416.03,,2059.74,38.08,1232.15
2016/4/1,454.02,,2065.3,45.88,1292.77
2016/5/1,531.34,14.16,2096.96,48.85,1214.95
2016/6/1,673.49,12.49,2098.86,48.38,1321.49
2016/7/1,626.97,11.99,2173.6,41.37,1350.57
2016/8/1,572.89,11.7,2170.95,44.8,1308.76
2016/9/1,608.99,13.23,2168.27,48.02,1315.55
2016/10/1,696.9,10.97,2126.15,46.74,1276.75
2016/11/1,742.69,8.61,2198.81,48.97,1172.89
2016/12/1,973.37,8.16,2238.83,53.87,1150.62
2017/1/1,970.01,10.7,2278.87,52.79,1210.47
2017/2/1,1195.08,16.24,2363.64,53.97,1248.22
2017/3/1,1088.99,50.18,2362.72,50.78,1248.78
2017/4/1,1384.55,80.87,2384.2,49.17,1267.91
2017/5/1,2303.29,229.14,2411.8,48.61,1268.55
2017/6/1,2455.19,280.04,2423.41,46.31,1241.33
2017/7/1,2856.88,200.82,2470.3,50.16,1268.95
2017/8/1,4743.94,389.2,2471.65,47.07,1320.65
2017/9/1,4339,301.57,2519.36,51.61,1279.72
2017/10/1,6445.01,303.51,2575.26,54.6,1270.65
2017/11/1,9903,434,2647.58,57.4,1274.56
2017/12/1,13863.13,741.27,2673.61,60.09,1302.67
2018/1/1,10099.99,1105.01,2823.81,64.75,1344.57
2018/2/1,10307.27,849.99,2713.83,61.52,1318.2
2018/3/1,6928.5,394.54,2640.87,64.88,1325.03
2018/4/1,9243.83,669.81,2648.05,68.54,1315.5
2018/5/1,7485,577.1,2705.27,67.03,1297.9
2018/6/1,6383.19,453.29,2718.37,74.26,1252.4
2018/7/1,7727.27,432.35,2816.29,68.39,1223.7
2018/8/1,7015.01,281.94,2901.52,69.87,1201.47
2018/9/1,6605,232.27,2913.98,73.49,1190.4
2018/10/1,6304.18,196.95,2711.74,64.83,1215
2018/11/1,3976,111.65,2760.17,50.63,1222.136
2018/12/1,3691.86,130.53,2506.85,45.4,1282.2
2019/1/1,3411.5,105.79,2704.1,53.99,1321.2
2019/2/1,3792.14,134.48,2784.49,57.24,1313
2019/3/1,4094.99,141.2,2834.4,60.14,1291.91
2019/4/1,5270.69,160.4,2945.83,63.43,1283.35
2019/5/1,8554.06,267.74,2752.06,53.34,1305.2
2019/6/1,10761.26,290.07,2941.76,58.15,1409.1
2019/7/1,10087.3,218.7,2980.38,57.83,1412.3
2019/8/1,9600.86,171.93,2926.46,55.01,1520.34
2019/9/1,8304.96,181.17,2976.74,54.27,1472.16
2019/10/1,9159.48,182.38,3037.56,54.1,1512.564
2019/11/1,7555.92,151.78,3140.98,55.22,1463.6
2019/12/1,7165.72,128.54,3230.78,61.35,1517.177
2020/1/1,9334.98,179.74,3225.52,51.55,1589.687
2020/2/1,8525.07,217.31,2954.22,45.26,1585.634
2020/3/1,6424.35,133.08,2584.59,20.1,1575.007
2020/4/1,8624.28,206.23,2912.43,19.045,1685.125
2020/5/1,9446.57,231.54,3044.31,35.185,1729.326
2020/6/1,9136.2,225.48,3100.29,39.825,1781.858
2020/7/1,11351.62,346.86,3271.12,40.44,1974.9
2020/8/1,11655,433.89,3500.31,42.791,1967.244
2020/9/1,10779.63,359.89,3363,39.918,1885.328
2020/10/1,13804.81,386.74,3269.96,35.72,1877.9
2020/11/1,19713.94,617,3621.63,45.045,1776.7
2020/12/1,28990.08,737.67,3756.07,48.181,1897.9
2021/1/1,33137.74,1313.94,3714.24,52.169,1846.715
2021/2/1,45231.75,1422.02,3811.15,61.53,1732.526
2021/3/1,58800,1920,3972.89,59.43,1707.47
2021/4/1,57798.77,2776.45,4181.17,63.459,1768.76
2021/5/1,37279.31,2707.12,4204.12,67,1907.06
2021/6/1,35060,2276.72,4297.49,73.495,1769.97
2021/7/1,41495.01,2533.74,4395.27,73.659,1814.15
2021/8/1,47112.5,3430.23,4522.69,68.535,1813.296
2021/9/1,43824.43,3000.46,4307.53,75.048,1756.388
2021/10/1,61343.68,4290.16,4605.39,83.284,1782.763
2021/11/1,56987.97,4634.95,4567.01,66.945,1773.986
2021/12/1,46211.24,3675.8,4766.19,75.351,1829.24
2022/1/1,38491.93,2689.72,4515.54,88.127,1796.64
2022/2/1,43192.66,2923.08,4373.95,95.84,1908.67
2022/3/1,45528.45,3283.08,4530.42,101.165,1936.32
2022/4/1,37644.1,2726.59,4131.92,104.125,1895.638
2022/5/1,34178.39,2525.66,4123.35,108.258,1878.5